method,return_type,return_description
javax.swing.plaf.synth.SynthToolTipUI.propertyChange(PropertyChangeEvent),void,
javax.swing.plaf.synth.SynthTreeUI.createUI(JComponent),ComponentUI,the UI object
javax.swing.plaf.synth.SynthTreeUI.getExpandedIcon(),Icon,
javax.swing.plaf.synth.SynthTreeUI.installDefaults(),void,
javax.swing.plaf.synth.SynthTreeUI.installListeners(),void,
javax.swing.plaf.synth.SynthTreeUI.getContext(JComponent),SynthContext,SynthContext describing component.
javax.swing.plaf.synth.SynthTreeUI.createDefaultCellEditor(),TreeCellEditor,
javax.swing.plaf.synth.SynthTreeUI.createDefaultCellRenderer(),TreeCellRenderer,
javax.swing.plaf.synth.SynthTreeUI.uninstallDefaults(),void,
javax.swing.plaf.synth.SynthTreeUI.uninstallListeners(),void,
"javax.swing.plaf.synth.SynthTreeUI.update(Graphics,JComponent)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintBorder(SynthContext,Graphics,int,int,int,int)",void,
"javax.swing.plaf.synth.SynthTreeUI.paint(Graphics,JComponent)",void,
"javax.swing.plaf.synth.SynthTreeUI.paint(SynthContext,Graphics)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintHorizontalPartOfLeg(Graphics,Rectangle,Insets,Rectangle,TreePath,int,boolean,boolean,boolean)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintHorizontalLine(Graphics,JComponent,int,int,int)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintVerticalPartOfLeg(Graphics,Rectangle,Insets,TreePath)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintVerticalLine(Graphics,JComponent,int,int,int)",void,
"javax.swing.plaf.synth.SynthTreeUI.paintExpandControl(Graphics,Rectangle,Insets,Rectangle,TreePath,int,boolean,boolean,boolean)",void,
"javax.swing.plaf.synth.SynthTreeUI.drawCentered(Component,Graphics,Icon,int,int)",void,
javax.swing.plaf.synth.SynthTreeUI.propertyChange(PropertyChangeEvent),void,
javax.swing.plaf.synth.SynthTreeUI.paintDropLine(Graphics),void,
"javax.swing.plaf.synth.SynthTreeUI.getRowX(int,int)",int,amount to indent the given row.
javax.swing.plaf.synth.SynthViewportUI.createUI(JComponent),ComponentUI,the UI object
javax.swing.plaf.synth.SynthViewportUI.installUI(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.uninstallUI(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.installDefaults(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.installListeners(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.uninstallListeners(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.uninstallDefaults(JComponent),void,
javax.swing.plaf.synth.SynthViewportUI.getContext(JComponent),SynthContext,SynthContext describing component.
"javax.swing.plaf.synth.SynthViewportUI.update(Graphics,JComponent)",void,
"javax.swing.plaf.synth.SynthViewportUI.paintBorder(SynthContext,Graphics,int,int,int,int)",void,
"javax.swing.plaf.synth.SynthViewportUI.paint(Graphics,JComponent)",void,
"javax.swing.plaf.synth.SynthViewportUI.paint(SynthContext,Graphics)",void,
javax.swing.plaf.synth.SynthViewportUI.propertyChange(PropertyChangeEvent),void,
javax.swing.table.AbstractTableModel.getColumnName(int),String,a string containing the default name of column
javax.swing.table.AbstractTableModel.findColumn(String),int,"the column with columnName, or -1 if not found"
javax.swing.table.AbstractTableModel.getColumnClass(int),Class&lt;?&gt;,the Object.class
"javax.swing.table.AbstractTableModel.isCellEditable(int,int)",boolean,false
"javax.swing.table.AbstractTableModel.setValueAt(Object,int,int)",void,
javax.swing.table.AbstractTableModel.addTableModelListener(TableModelListener),void,
javax.swing.table.AbstractTableModel.removeTableModelListener(TableModelListener),void,
javax.swing.table.AbstractTableModel.getTableModelListeners(),TableModelListener[],all of this model's TableModelListeners or an empty array if no table model listeners are currently registered
javax.swing.table.AbstractTableModel.fireTableDataChanged(),void,
javax.swing.table.AbstractTableModel.fireTableStructureChanged(),void,
"javax.swing.table.AbstractTableModel.fireTableRowsInserted(int,int)",void,
"javax.swing.table.AbstractTableModel.fireTableRowsUpdated(int,int)",void,
"javax.swing.table.AbstractTableModel.fireTableRowsDeleted(int,int)",void,
"javax.swing.table.AbstractTableModel.fireTableCellUpdated(int,int)",void,
javax.swing.table.AbstractTableModel.fireTableChanged(TableModelEvent),void,
javax.swing.table.AbstractTableModel.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this component, or an empty array if no such listeners have been added"
javax.swing.table.DefaultTableCellRenderer.setForeground(Color),void,
javax.swing.table.DefaultTableCellRenderer.setBackground(Color),void,
javax.swing.table.DefaultTableCellRenderer.updateUI(),void,
"javax.swing.table.DefaultTableCellRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)",Component,the default table cell renderer
javax.swing.table.DefaultTableCellRenderer.isOpaque(),boolean,true if this component is completely opaque
javax.swing.table.DefaultTableCellRenderer.invalidate(),void,
javax.swing.table.DefaultTableCellRenderer.validate(),void,
javax.swing.table.DefaultTableCellRenderer.revalidate(),void,
"javax.swing.table.DefaultTableCellRenderer.repaint(long,int,int,int,int)",void,
javax.swing.table.DefaultTableCellRenderer.repaint(Rectangle),void,
javax.swing.table.DefaultTableCellRenderer.repaint(),void,
"javax.swing.table.DefaultTableCellRenderer.firePropertyChange(String,Object,Object)",void,
"javax.swing.table.DefaultTableCellRenderer.firePropertyChange(String,boolean,boolean)",void,
javax.swing.table.DefaultTableCellRenderer.setValue(Object),void,
javax.swing.table.DefaultTableColumnModel.addColumn(TableColumn),void,
javax.swing.table.DefaultTableColumnModel.removeColumn(TableColumn),void,
"javax.swing.table.DefaultTableColumnModel.moveColumn(int,int)",void,
javax.swing.table.DefaultTableColumnModel.setColumnMargin(int),void,
javax.swing.table.DefaultTableColumnModel.getColumnCount(),int,the number of columns in the tableColumns array
javax.swing.table.DefaultTableColumnModel.getColumns(),Enumeration&lt;TableColumn&gt;,an Enumeration of the columns in the model
javax.swing.table.DefaultTableColumnModel.getColumnIndex(Object),int,the index of the first column in the tableColumns array whose identifier is equal to identifier
javax.swing.table.DefaultTableColumnModel.getColumn(int),TableColumn,the TableColumn object for the column at columnIndex
javax.swing.table.DefaultTableColumnModel.getColumnMargin(),int,the maximum width for the TableColumn
javax.swing.table.DefaultTableColumnModel.getColumnIndexAtX(int),int,the index of the column or -1 if no column is found
javax.swing.table.DefaultTableColumnModel.getTotalColumnWidth(),int,the totalColumnWidth property
javax.swing.table.DefaultTableColumnModel.setSelectionModel(ListSelectionModel),void,
javax.swing.table.DefaultTableColumnModel.getSelectionModel(),ListSelectionModel,the object that provides column selection state. Or null if row selection is not allowed.
javax.swing.table.DefaultTableColumnModel.setColumnSelectionAllowed(boolean),void,
javax.swing.table.DefaultTableColumnModel.getColumnSelectionAllowed(),boolean,the columnSelectionAllowed property
javax.swing.table.DefaultTableColumnModel.getSelectedColumns(),int[],an array of selected columns or an empty array if nothing is selected or the selectionModel is null
javax.swing.table.DefaultTableColumnModel.getSelectedColumnCount(),int,the number of columns selected
javax.swing.table.DefaultTableColumnModel.addColumnModelListener(TableColumnModelListener),void,
javax.swing.table.DefaultTableColumnModel.removeColumnModelListener(TableColumnModelListener),void,
javax.swing.table.DefaultTableColumnModel.getColumnModelListeners(),TableColumnModelListener[],all of this default table column model's ColumnModelListeners or an empty array if no column model listeners are currently registered
javax.swing.table.DefaultTableColumnModel.fireColumnAdded(TableColumnModelEvent),void,
javax.swing.table.DefaultTableColumnModel.fireColumnRemoved(TableColumnModelEvent),void,
javax.swing.table.DefaultTableColumnModel.fireColumnMoved(TableColumnModelEvent),void,
javax.swing.table.DefaultTableColumnModel.fireColumnSelectionChanged(ListSelectionEvent),void,
javax.swing.table.DefaultTableColumnModel.fireColumnMarginChanged(),void,
javax.swing.table.DefaultTableColumnModel.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this model, or an empty array if no such listeners have been added"
javax.swing.table.DefaultTableColumnModel.propertyChange(PropertyChangeEvent),void,
javax.swing.table.DefaultTableColumnModel.valueChanged(ListSelectionEvent),void,
javax.swing.table.DefaultTableColumnModel.createSelectionModel(),ListSelectionModel,
javax.swing.table.DefaultTableColumnModel.recalcWidthCache(),void,
javax.swing.table.DefaultTableModel.getDataVector(),Vector,the vector of vectors containing the tables data values
"javax.swing.table.DefaultTableModel.setDataVector(Vector,Vector)",void,
"javax.swing.table.DefaultTableModel.setDataVector(Object[][],Object[])",void,
javax.swing.table.DefaultTableModel.newDataAvailable(TableModelEvent),void,
javax.swing.table.DefaultTableModel.newRowsAdded(TableModelEvent),void,
javax.swing.table.DefaultTableModel.rowsRemoved(TableModelEvent),void,
javax.swing.table.DefaultTableModel.setNumRows(int),void,
javax.swing.table.DefaultTableModel.setRowCount(int),void,
javax.swing.table.DefaultTableModel.addRow(Vector),void,
javax.swing.table.DefaultTableModel.addRow(Object[]),void,
"javax.swing.table.DefaultTableModel.insertRow(int,Vector)",void,
"javax.swing.table.DefaultTableModel.insertRow(int,Object[])",void,
"javax.swing.table.DefaultTableModel.moveRow(int,int,int)",void,
javax.swing.table.DefaultTableModel.removeRow(int),void,
javax.swing.table.DefaultTableModel.setColumnIdentifiers(Vector),void,
javax.swing.table.DefaultTableModel.setColumnIdentifiers(Object[]),void,
javax.swing.table.DefaultTableModel.setColumnCount(int),void,
javax.swing.table.DefaultTableModel.addColumn(Object),void,
"javax.swing.table.DefaultTableModel.addColumn(Object,Vector)",void,
"javax.swing.table.DefaultTableModel.addColumn(Object,Object[])",void,
javax.swing.table.DefaultTableModel.getRowCount(),int,the number of rows in the model
javax.swing.table.DefaultTableModel.getColumnCount(),int,the number of columns in the model
javax.swing.table.DefaultTableModel.getColumnName(int),String,"a name for this column using the string value of the appropriate member in columnIdentifiers. If columnIdentifiers does not have an entry for this index, returns the default name provided by the superclass."
"javax.swing.table.DefaultTableModel.isCellEditable(int,int)",boolean,true
"javax.swing.table.DefaultTableModel.getValueAt(int,int)",Object,the value Object at the specified cell
"javax.swing.table.DefaultTableModel.setValueAt(Object,int,int)",void,
javax.swing.table.DefaultTableModel.convertToVector(Object[]),Vector,"the new vector; if anArray is null, returns null"
javax.swing.table.DefaultTableModel.convertToVector(Object[][]),Vector,"the new vector of vectors; if anArray is null, returns null"
javax.swing.table.JTableHeader.setTable(JTable),void,
javax.swing.table.JTableHeader.getTable(),JTable,the table property
javax.swing.table.JTableHeader.setReorderingAllowed(boolean),void,
javax.swing.table.JTableHeader.getReorderingAllowed(),boolean,the reorderingAllowed property
javax.swing.table.JTableHeader.setResizingAllowed(boolean),void,
javax.swing.table.JTableHeader.getResizingAllowed(),boolean,the resizingAllowed property
javax.swing.table.JTableHeader.getDraggedColumn(),TableColumn,"the dragged column, if a drag is in process, otherwise returns null"
javax.swing.table.JTableHeader.getDraggedDistance(),int,"the column's horizontal distance from its original position, if a drag is in process, otherwise the return value is meaningless"
javax.swing.table.JTableHeader.getResizingColumn(),TableColumn,"the resizing column, if a resize is in process, otherwise returns null"
javax.swing.table.JTableHeader.setUpdateTableInRealTime(boolean),void,
javax.swing.table.JTableHeader.getUpdateTableInRealTime(),boolean,
javax.swing.table.JTableHeader.setDefaultRenderer(TableCellRenderer),void,
javax.swing.table.JTableHeader.getDefaultRenderer(),TableCellRenderer,the default renderer
javax.swing.table.JTableHeader.columnAtPoint(Point),int,"the index of the column that point lies in, or -1 if it lies out of bounds"
javax.swing.table.JTableHeader.getHeaderRect(int),Rectangle,the rectangle containing the header tile at column
javax.swing.table.JTableHeader.getToolTipText(MouseEvent),String,the tool tip for this component
javax.swing.table.JTableHeader.getUI(),TableHeaderUI,the TableHeaderUI object that renders this component
javax.swing.table.JTableHeader.setUI(TableHeaderUI),void,
javax.swing.table.JTableHeader.updateUI(),void,
javax.swing.table.JTableHeader.getUIClassID(),String,"the string ""TableHeaderUI"""
javax.swing.table.JTableHeader.setColumnModel(TableColumnModel),void,
javax.swing.table.JTableHeader.getColumnModel(),TableColumnModel,the columnModel property
javax.swing.table.JTableHeader.columnAdded(TableColumnModelEvent),void,
javax.swing.table.JTableHeader.columnRemoved(TableColumnModelEvent),void,
javax.swing.table.JTableHeader.columnMoved(TableColumnModelEvent),void,
javax.swing.table.JTableHeader.columnMarginChanged(ChangeEvent),void,
javax.swing.table.JTableHeader.columnSelectionChanged(ListSelectionEvent),void,
javax.swing.table.JTableHeader.createDefaultColumnModel(),TableColumnModel,the default column model object
javax.swing.table.JTableHeader.createDefaultRenderer(),TableCellRenderer,the default table column renderer
javax.swing.table.JTableHeader.initializeLocalVars(),void,
javax.swing.table.JTableHeader.resizeAndRepaint(),void,
javax.swing.table.JTableHeader.setDraggedColumn(TableColumn),void,
javax.swing.table.JTableHeader.setDraggedDistance(int),void,
javax.swing.table.JTableHeader.setResizingColumn(TableColumn),void,
javax.swing.table.JTableHeader.paramString(),String,a string representation of this JTableHeader
javax.swing.table.JTableHeader.getAccessibleContext(),AccessibleContext,an AccessibleJTableHeader that serves as the AccessibleContext of this JTableHeader
javax.swing.table.TableColumn.setModelIndex(int),void,
javax.swing.table.TableColumn.getModelIndex(),int,the modelIndex property
javax.swing.table.TableColumn.setIdentifier(Object),void,
javax.swing.table.TableColumn.getIdentifier(),Object,the identifier property
javax.swing.table.TableColumn.setHeaderValue(Object),void,
javax.swing.table.TableColumn.getHeaderValue(),Object,the headerValue property
javax.swing.table.TableColumn.setHeaderRenderer(TableCellRenderer),void,
javax.swing.table.TableColumn.getHeaderRenderer(),TableCellRenderer,the headerRenderer property
javax.swing.table.TableColumn.setCellRenderer(TableCellRenderer),void,
javax.swing.table.TableColumn.getCellRenderer(),TableCellRenderer,the cellRenderer property
javax.swing.table.TableColumn.setCellEditor(TableCellEditor),void,
javax.swing.table.TableColumn.getCellEditor(),TableCellEditor,the cellEditor property
javax.swing.table.TableColumn.setWidth(int),void,
javax.swing.table.TableColumn.getWidth(),int,the width property
javax.swing.table.TableColumn.setPreferredWidth(int),void,
javax.swing.table.TableColumn.getPreferredWidth(),int,the preferredWidth property
javax.swing.table.TableColumn.setMinWidth(int),void,
javax.swing.table.TableColumn.getMinWidth(),int,the minWidth property
javax.swing.table.TableColumn.setMaxWidth(int),void,
javax.swing.table.TableColumn.getMaxWidth(),int,the maxWidth property
javax.swing.table.TableColumn.setResizable(boolean),void,
javax.swing.table.TableColumn.getResizable(),boolean,the isResizable property
javax.swing.table.TableColumn.sizeWidthToFit(),void,
javax.swing.table.TableColumn.disableResizedPosting(),void,
javax.swing.table.TableColumn.enableResizedPosting(),void,
javax.swing.table.TableColumn.addPropertyChangeListener(PropertyChangeListener),void,
javax.swing.table.TableColumn.removePropertyChangeListener(PropertyChangeListener),void,
javax.swing.table.TableColumn.getPropertyChangeListeners(),PropertyChangeListener[],all of the PropertyChangeListeners added or an empty array if no listeners have been added
javax.swing.table.TableColumn.createDefaultHeaderRenderer(),TableCellRenderer,the default header renderer
javax.swing.table.TableRowSorter.setModel(M),void,
javax.swing.table.TableRowSorter.setStringConverter(TableStringConverter),void,
javax.swing.table.TableRowSorter.getStringConverter(),TableStringConverter,object responsible for converting values to strings.
javax.swing.table.TableRowSorter.getComparator(int),Comparator&lt;?&gt;,the Comparator for the specified column
javax.swing.table.TableRowSorter.useToString(int),boolean,
"javax.swing.table.TableStringConverter.toString(TableModel,int,int)",abstractString,the string representation. This should never return null.
javax.swing.text.AbstractDocument.getDocumentProperties(),"Dictionary&lt;Object,Object&gt;",a non-null Dictionary
"javax.swing.text.AbstractDocument.setDocumentProperties(Dictionary&lt;Object,Object&gt;)",void,
javax.swing.text.AbstractDocument.fireInsertUpdate(DocumentEvent),void,
javax.swing.text.AbstractDocument.fireChangedUpdate(DocumentEvent),void,
javax.swing.text.AbstractDocument.fireRemoveUpdate(DocumentEvent),void,
javax.swing.text.AbstractDocument.fireUndoableEditUpdate(UndoableEditEvent),void,
javax.swing.text.AbstractDocument.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this component, or an empty array if no such listeners have been added"
javax.swing.text.AbstractDocument.getAsynchronousLoadPriority(),int,"the asynchronous loading priority, or -1 if the document should not be loaded asynchronously"
javax.swing.text.AbstractDocument.setAsynchronousLoadPriority(int),void,
javax.swing.text.AbstractDocument.setDocumentFilter(DocumentFilter),void,
javax.swing.text.AbstractDocument.getDocumentFilter(),DocumentFilter,the DocumentFilter
javax.swing.text.AbstractDocument.render(Runnable),void,
javax.swing.text.AbstractDocument.getLength(),int,the length &gt;= 0
javax.swing.text.AbstractDocument.addDocumentListener(DocumentListener),void,
javax.swing.text.AbstractDocument.removeDocumentListener(DocumentListener),void,
javax.swing.text.AbstractDocument.getDocumentListeners(),DocumentListener[],all of this document's DocumentListeners or an empty array if no document listeners are currently registered
javax.swing.text.AbstractDocument.addUndoableEditListener(UndoableEditListener),void,
javax.swing.text.AbstractDocument.removeUndoableEditListener(UndoableEditListener),void,
javax.swing.text.AbstractDocument.getUndoableEditListeners(),UndoableEditListener[],all of this document's UndoableEditListeners or an empty array if no undoable edit listeners are currently registered
javax.swing.text.AbstractDocument.getProperty(Object),Object,the value of this property or null
"javax.swing.text.AbstractDocument.putProperty(Object,Object)",void,
"javax.swing.text.AbstractDocument.remove(int,int)",void,
"javax.swing.text.AbstractDocument.replace(int,int,String,AttributeSet)",void,
"javax.swing.text.AbstractDocument.insertString(int,String,AttributeSet)",void,
"javax.swing.text.AbstractDocument.getText(int,int)",String,the text
"javax.swing.text.AbstractDocument.getText(int,int,Segment)",void,
javax.swing.text.AbstractDocument.createPosition(int),Position,the position
javax.swing.text.AbstractDocument.getStartPosition(),Position,the position
javax.swing.text.AbstractDocument.getEndPosition(),Position,the position
javax.swing.text.AbstractDocument.getRootElements(),Element[],the root element
javax.swing.text.AbstractDocument.getDefaultRootElement(),abstractElement,the root element
javax.swing.text.AbstractDocument.getBidiRootElement(),Element,
javax.swing.text.AbstractDocument.getParagraphElement(int),abstractElement,the element
javax.swing.text.AbstractDocument.getAttributeContext(),AbstractDocument.AttributeContext,the context
"javax.swing.text.AbstractDocument.insertUpdate(AbstractDocument.DefaultDocumentEvent,AttributeSet)",void,
javax.swing.text.AbstractDocument.removeUpdate(AbstractDocument.DefaultDocumentEvent),void,
javax.swing.text.AbstractDocument.postRemoveUpdate(AbstractDocument.DefaultDocumentEvent),void,
javax.swing.text.AbstractDocument.dump(PrintStream),void,
javax.swing.text.AbstractDocument.getContent(),AbstractDocument.Content,the content
"javax.swing.text.AbstractDocument.createLeafElement(Element,AttributeSet,int,int)",Element,the new element
"javax.swing.text.AbstractDocument.createBranchElement(Element,AttributeSet)",Element,the element
javax.swing.text.AbstractDocument.getCurrentWriter(),Thread,the thread actively modifying the document or null if there are no modifications in progress
javax.swing.text.AbstractDocument.writeLock(),void,
javax.swing.text.AbstractDocument.writeUnlock(),void,
javax.swing.text.AbstractDocument.readLock(),void,
javax.swing.text.AbstractDocument.readUnlock(),void,
javax.swing.text.AbstractDocument.ElementEdit.getElement(),Element,the element
javax.swing.text.AbstractDocument.ElementEdit.getIndex(),int,the index &gt;= 0
javax.swing.text.AbstractDocument.ElementEdit.getChildrenRemoved(),Element[],the list
javax.swing.text.AbstractDocument.ElementEdit.getChildrenAdded(),Element[],the list
javax.swing.text.AbstractDocument.ElementEdit.redo(),void,
javax.swing.text.AbstractDocument.ElementEdit.undo(),void,
javax.swing.text.AbstractWriter.getStartOffset(),int,
javax.swing.text.AbstractWriter.getEndOffset(),int,
javax.swing.text.AbstractWriter.getElementIterator(),ElementIterator,the ElementIterator.
javax.swing.text.AbstractWriter.getWriter(),Writer,
javax.swing.text.AbstractWriter.getDocument(),Document,the Document.
javax.swing.text.AbstractWriter.inRange(Element),boolean,boolean that indicates whether the element is in the range.
javax.swing.text.AbstractWriter.write(),abstractvoid,
javax.swing.text.AbstractWriter.getText(Element),String,the text as a String
javax.swing.text.AbstractWriter.text(Element),void,
javax.swing.text.AbstractWriter.setLineLength(int),void,
javax.swing.text.AbstractWriter.getLineLength(),int,
javax.swing.text.AbstractWriter.setCurrentLineLength(int),void,
javax.swing.text.AbstractWriter.getCurrentLineLength(),int,
javax.swing.text.AbstractWriter.isLineEmpty(),boolean,
javax.swing.text.AbstractWriter.setCanWrapLines(boolean),void,
javax.swing.text.AbstractWriter.getCanWrapLines(),boolean,
javax.swing.text.AbstractWriter.setIndentSpace(int),void,
javax.swing.text.AbstractWriter.getIndentSpace(),int,
javax.swing.text.AbstractWriter.setLineSeparator(String),void,
javax.swing.text.AbstractWriter.getLineSeparator(),String,
javax.swing.text.AbstractWriter.incrIndent(),void,
javax.swing.text.AbstractWriter.decrIndent(),void,
javax.swing.text.AbstractWriter.getIndentLevel(),int,
javax.swing.text.AbstractWriter.indent(),void,
javax.swing.text.AbstractWriter.write(char),void,
javax.swing.text.AbstractWriter.write(String),void,
javax.swing.text.AbstractWriter.writeLineSeparator(),void,
"javax.swing.text.AbstractWriter.write(char[],int,int)",void,
javax.swing.text.AbstractWriter.writeAttributes(AttributeSet),void,
"javax.swing.text.AbstractWriter.output(char[],int,int)",void,
javax.swing.text.AsyncBoxView.getMajorAxis(),int,
javax.swing.text.AsyncBoxView.getMinorAxis(),int,
javax.swing.text.AsyncBoxView.getTopInset(),float,
javax.swing.text.AsyncBoxView.setTopInset(float),void,
javax.swing.text.AsyncBoxView.getBottomInset(),float,
javax.swing.text.AsyncBoxView.setBottomInset(float),void,
javax.swing.text.AsyncBoxView.getLeftInset(),float,
javax.swing.text.AsyncBoxView.setLeftInset(float),void,
javax.swing.text.AsyncBoxView.getRightInset(),float,
javax.swing.text.AsyncBoxView.setRightInset(float),void,
javax.swing.text.AsyncBoxView.getInsetSpan(int),float,
javax.swing.text.AsyncBoxView.setEstimatedMajorSpan(boolean),void,
javax.swing.text.AsyncBoxView.getEstimatedMajorSpan(),boolean,
javax.swing.text.AsyncBoxView.getChildState(int),AsyncBoxView.ChildState,
javax.swing.text.AsyncBoxView.getLayoutQueue(),LayoutQueue,
javax.swing.text.AsyncBoxView.createChildState(View),AsyncBoxView.ChildState,
"javax.swing.text.AsyncBoxView.majorRequirementChange(AsyncBoxView.ChildState,float)",void,
javax.swing.text.AsyncBoxView.minorRequirementChange(AsyncBoxView.ChildState),void,
javax.swing.text.AsyncBoxView.flushRequirementChanges(),void,
"javax.swing.text.AsyncBoxView.replace(int,int,View[])",void,
javax.swing.text.AsyncBoxView.loadChildren(ViewFactory),void,
"javax.swing.text.AsyncBoxView.getViewIndexAtPosition(int,Position.Bias)",int,"index of the view representing the given position, or -1 if no view represents that position"
"javax.swing.text.AsyncBoxView.updateLayout(DocumentEvent.ElementChange,DocumentEvent,Shape)",void,
javax.swing.text.AsyncBoxView.setParent(View),void,
"javax.swing.text.AsyncBoxView.preferenceChanged(View,boolean,boolean)",void,
"javax.swing.text.AsyncBoxView.setSize(float,float)",void,
"javax.swing.text.AsyncBoxView.paint(Graphics,Shape)",void,
javax.swing.text.AsyncBoxView.getPreferredSpan(int),float,"the span the view would like to be rendered into &gt;= 0. Typically the view is told to render into the span that is returned, although there is no guarantee. The parent may choose to resize or break the view."
javax.swing.text.AsyncBoxView.getMinimumSpan(int),float,"the span the view would like to be rendered into &gt;= 0. Typically the view is told to render into the span that is returned, although there is no guarantee. The parent may choose to resize or break the view."
javax.swing.text.AsyncBoxView.getMaximumSpan(int),float,"the span the view would like to be rendered into &gt;= 0. Typically the view is told to render into the span that is returned, although there is no guarantee. The parent may choose to resize or break the view."
javax.swing.text.AsyncBoxView.getViewCount(),int,the number of views &gt;= 0
javax.swing.text.AsyncBoxView.getView(int),View,the view
"javax.swing.text.AsyncBoxView.getChildAllocation(int,Shape)",Shape,the allocation to the child
"javax.swing.text.AsyncBoxView.getViewIndex(int,Position.Bias)",int,"index of the view representing the given position, or -1 if no view represents that position"
"javax.swing.text.AsyncBoxView.modelToView(int,Shape,Position.Bias)",Shape,the bounding box of the given position is returned
"javax.swing.text.AsyncBoxView.viewToModel(float,float,Shape,Position.Bias[])",int,the location within the model that best represents the given point in the view &gt;= 0. The biasReturn argument will be filled in to indicate that the point given is closer to the next character in the model or the previous character in the model.
"javax.swing.text.AsyncBoxView.getNextVisualPositionFrom(int,Position.Bias,Shape,int,Position.Bias[])",int,
javax.swing.text.BoxView.getAxis(),int,"the major axis of the box, either View.X_AXIS or View.Y_AXIS"
javax.swing.text.BoxView.setAxis(int),void,
javax.swing.text.BoxView.layoutChanged(int),void,
javax.swing.text.BoxView.isLayoutValid(int),boolean,
"javax.swing.text.BoxView.paintChild(Graphics,Rectangle,int)",void,
"javax.swing.text.BoxView.replace(int,int,View[])",void,
"javax.swing.text.BoxView.forwardUpdate(DocumentEvent.ElementChange,DocumentEvent,Shape,ViewFactory)",void,
"javax.swing.text.BoxView.preferenceChanged(View,boolean,boolean)",void,
javax.swing.text.BoxView.getResizeWeight(int),int,the weight
"javax.swing.text.BoxView.setSize(float,float)",void,
"javax.swing.text.BoxView.paint(Graphics,Shape)",void,
"javax.swing.text.BoxView.getChildAllocation(int,Shape)",Shape,the allocation to the child; or null if a is null; or null if the layout is invalid
"javax.swing.text.BoxView.modelToView(int,Shape,Position.Bias)",Shape,the bounding box of the given position
"javax.swing.text.BoxView.viewToModel(float,float,Shape,Position.Bias[])",int,the location within the model that best represents the given point in the view &gt;= 0
javax.swing.text.BoxView.getAlignment(int),float,the desired alignment &gt;= 0.0f &amp;&amp; &lt;= 1.0f; this should be a value between 0.0 and 1.0 where 0 indicates alignment at the origin and 1.0 indicates alignment to the full span away from the origin; an alignment of 0.5 would be the center of the view
javax.swing.text.BoxView.getPreferredSpan(int),float,"the span the view would like to be rendered into &gt;= 0; typically the view is told to render into the span that is returned, although there is no guarantee; the parent may choose to resize or break the view"
javax.swing.text.BoxView.getMinimumSpan(int),float,"the span the view would like to be rendered into &gt;= 0; typically the view is told to render into the span that is returned, although there is no guarantee; the parent may choose to resize or break the view"
javax.swing.text.BoxView.getMaximumSpan(int),float,"the span the view would like to be rendered into &gt;= 0; typically the view is told to render into the span that is returned, although there is no guarantee; the parent may choose to resize or break the view"
javax.swing.text.BoxView.isAllocationValid(),boolean,true if allocations still valid
"javax.swing.text.BoxView.isBefore(int,int,Rectangle)",boolean,true if the point lies before the region else false
"javax.swing.text.BoxView.isAfter(int,int,Rectangle)",boolean,true if the point lies after the region else false
"javax.swing.text.BoxView.getViewAtPoint(int,int,Rectangle)",View,the view
"javax.swing.text.BoxView.childAllocation(int,Rectangle)",void,
"javax.swing.text.BoxView.layout(int,int)",void,
javax.swing.text.BoxView.getWidth(),int,the current width of the box
javax.swing.text.BoxView.getHeight(),int,the current height of the box
"javax.swing.text.BoxView.layoutMajorAxis(int,int,int[],int[])",void,
"javax.swing.text.BoxView.layoutMinorAxis(int,int,int[],int[])",void,
"javax.swing.text.BoxView.calculateMajorAxisRequirements(int,SizeRequirements)",SizeRequirements,the newly initialized SizeRequirements object
"javax.swing.text.BoxView.calculateMinorAxisRequirements(int,SizeRequirements)",SizeRequirements,the newly initialized SizeRequirements object
"javax.swing.text.BoxView.baselineLayout(int,int,int[],int[])",void,
"javax.swing.text.BoxView.baselineRequirements(int,SizeRequirements)",SizeRequirements,the newly initialized SizeRequirements object
"javax.swing.text.BoxView.getOffset(int,int)",int,the offset (location) for the specified child
"javax.swing.text.BoxView.getSpan(int,int)",int,the span (width or height) of the specified child
"javax.swing.text.BoxView.flipEastAndWestAtEnds(int,Position.Bias)",boolean,true if the Views surrounding the View responding for rendering position and bias are layed out in descending order; otherwise false
javax.swing.text.ComponentView.createComponent(),Component,
javax.swing.text.ComponentView.getComponent(),Component,
