method,throws,throws_description
org.omg.DynamicAny._DynArrayStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynArrayStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_any(Any),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_dyn_any(DynAny),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.insert_val(Serializable),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynArrayStub.get_boolean(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_octet(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_char(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_short(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_ushort(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_long(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_ulong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_float(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_double(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_string(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_reference(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_typecode(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_longlong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_ulonglong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_wchar(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_wstring(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_dyn_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.get_val(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynArrayStub.current_component(),TypeMismatch ," If called on a DynAny that cannot have components, such as a DynEnum or an empty exception"
org.omg.DynamicAny._DynEnumStub.set_as_string(String),InvalidValue , If value contains a string that is not a valid IDL identifier for the corresponding enumerated type
org.omg.DynamicAny._DynEnumStub.set_as_ulong(int),InvalidValue , If value contains a value that is outside the range of ordinal values for the corresponding enumerated type
org.omg.DynamicAny._DynEnumStub.assign(DynAny),TypeMismatch , if the type of the passed DynAny is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynEnumStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynEnumStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_any(Any),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_dyn_any(DynAny),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.insert_val(Serializable),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynEnumStub.get_boolean(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_octet(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_char(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_short(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_ushort(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_long(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_ulong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_float(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_double(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_string(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_reference(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_typecode(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_longlong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_ulonglong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_wchar(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_wstring(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_dyn_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.get_val(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynEnumStub.current_component(),TypeMismatch ," If called on a DynAny that cannot have components, such as a DynEnum or an empty exception"
org.omg.DynamicAny._DynFixedStub.set_value(String),TypeMismatch , If val does not contain a valid fixed-point literal or contains extraneous characters other than leading or trailing white space
org.omg.DynamicAny._DynFixedStub.assign(DynAny),TypeMismatch , if the type of the passed DynAny is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynFixedStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynFixedStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_any(Any),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_dyn_any(DynAny),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.insert_val(Serializable),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynFixedStub.get_boolean(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_octet(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_char(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_short(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_ushort(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_long(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_ulong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_float(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_double(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_string(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_reference(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_typecode(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_longlong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_ulonglong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_wchar(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_wstring(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_dyn_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.get_val(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynFixedStub.current_component(),TypeMismatch ," If called on a DynAny that cannot have components, such as a DynEnum or an empty exception"
org.omg.DynamicAny._DynSequenceStub.set_elements(Any[]),TypeMismatch , if value contains one or more elements whose TypeCode is not equivalent to the element TypeCode of the DynSequence
org.omg.DynamicAny._DynSequenceStub.set_elements_as_dyn_any(DynAny[]),TypeMismatch , if value contains one or more elements whose TypeCode is not equivalent to the element TypeCode of the DynSequence
org.omg.DynamicAny._DynSequenceStub.assign(DynAny),TypeMismatch , if the type of the passed DynAny is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynSequenceStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynSequenceStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_any(Any),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_dyn_any(DynAny),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.insert_val(Serializable),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynSequenceStub.get_boolean(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_octet(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_char(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_short(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_ushort(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_long(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_ulong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_float(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_double(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_string(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_reference(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_typecode(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_longlong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_ulonglong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_wchar(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_wstring(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_dyn_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.get_val(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynSequenceStub.current_component(),TypeMismatch ," If called on a DynAny that cannot have components, such as a DynEnum or an empty exception"
org.omg.DynamicAny._DynStructStub.current_member_name(),TypeMismatch , if the DynStruct represents an empty exception.
org.omg.DynamicAny._DynStructStub.current_member_kind(),TypeMismatch , if the DynStruct represents an empty exception.
org.omg.DynamicAny._DynStructStub.set_members(NameValuePair[]),TypeMismatch , if the member names supplied in the passed sequence do not match the corresponding member name in the DynStruct's TypeCode and they are not empty strings
org.omg.DynamicAny._DynStructStub.set_members_as_dyn_any(NameDynAnyPair[]),TypeMismatch , if the member names supplied in the passed sequence do not match the corresponding member name in the DynStruct's TypeCode and they are not empty strings
org.omg.DynamicAny._DynStructStub.assign(DynAny),TypeMismatch , if the type of the passed DynAny is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynStructStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynStructStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_any(Any),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_dyn_any(DynAny),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.insert_val(Serializable),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynStructStub.get_boolean(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_octet(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_char(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_short(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_ushort(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_long(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_ulong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_float(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_double(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_string(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_reference(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_typecode(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_longlong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_ulonglong(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_wchar(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_wstring(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_dyn_any(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.get_val(),TypeMismatch , if the accessed component in the DynAny is of a type that is not equivalent to the requested type.
org.omg.DynamicAny._DynStructStub.current_component(),TypeMismatch ," If called on a DynAny that cannot have components, such as a DynEnum or an empty exception"
org.omg.DynamicAny._DynUnionStub.set_discriminator(DynAny),TypeMismatch , if the TypeCode of the parameter is not equivalent to the TypeCode of the union's discriminator
org.omg.DynamicAny._DynUnionStub.set_to_default_member(),TypeMismatch , if the union does not have an explicit default case
org.omg.DynamicAny._DynUnionStub.set_to_no_active_member(),TypeMismatch , if the union has an explicit default case or if it uses the entire range of discriminator values for explicit case labels
org.omg.DynamicAny._DynUnionStub.member_kind(),InvalidValue , if the union does not have a currently active member
org.omg.DynamicAny._DynUnionStub.member(),InvalidValue , if the union has no active member
org.omg.DynamicAny._DynUnionStub.member_name(),InvalidValue , if the union has no active member
org.omg.DynamicAny._DynUnionStub.assign(DynAny),TypeMismatch , if the type of the passed DynAny is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynUnionStub.from_any(Any),TypeMismatch , if the type of the passed Any is not equivalent to the type of target DynAny
org.omg.DynamicAny._DynUnionStub.insert_boolean(boolean),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_octet(byte),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_char(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_short(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_ushort(short),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_long(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_ulong(int),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_float(float),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_double(double),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_string(String),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_reference(Object),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_typecode(TypeCode),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_longlong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_ulonglong(long),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_wchar(char),InvalidValue , if this DynAny has components but has a current position of -1
org.omg.DynamicAny._DynUnionStub.insert_wstring(String),InvalidValue , if this DynAny has components but has a current position of -1
